clause,title,mece_domain,requirement,required_documents,required_records,required_process,evidence_examples,legal_links,nc_cat1,nc_cat2,nc_cat3,audit_evidence_type,objective_metrics,img_scene_types,img_object_categories,img_ppe_items,img_unsafe_actions_keywords,img_signage_text_keywords,img_evidence_sources,img_model_hint,img_acceptance_criteria,img_mapping_confidence
6.1.2.2,리스크 평가,기획,기존 통제를 반영하여 리스크 평가 방법·기준을 예방적·체계적으로 정의·문서화·유지한다.,평가방법/기준 문서,평가 결과 기록,리스크 평가 프로세스,평가 보고,-,리스크 평가 방법론/기준 부재 또는 적용 불가.,"방법론은 있으나 통제 반영/체계성 부족, 기록 미흡.",사전예방성·정량성 강화 필요.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
6.1.2.3,기회 평가,기획,안전보건 성과 향상 기회와 시스템 개선 기회를 평가한다.,기회 평가 절차,기회 목록/평가 결과,기회 평가 프로세스,개선 제안서,-,"기회 평가의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",기회 평가의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,기회 평가의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
6.1.3,법적·기타 요구사항의 결정,기획,적용 법적·기타 요구사항을 결정·적용·의사소통하며 갱신을 보장한다.,법규등록부/관리절차,준수평가 기록,법규 요구사항 결정 프로세스,적용성 판단서,표-7~9,법규등록부/준수평가 부재 또는 반복적 법 위반.,"등록부 최신화 지연, 적용성 판단/의사소통 미흡.",법규 변경 모니터링·피드백 체계 고도화.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
6.1.4,조치계획,기획,리스크·기회·법규·비상대응에 대한 조치를 계획하고 비즈니스 프로세스에 통합·효과 평가한다.,조치계획서,효과성 검토 기록,-,KPI 대시보드,-,"조치계획의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",조치계획의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,조치계획의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
6.2.1,안전보건 목표,기획,"방침과 일관된, 측정가능하고 모니터링·의사소통·갱신되는 목표를 수립한다.",목표 문서,실적/모니터링 기록,-,KPI표,-,"안전보건 목표의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",안전보건 목표의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,안전보건 목표의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
6.2.2,목표 달성 기획,기획,무엇/자원/책임/기한/평가/통합을 포함해 계획하고 문서화한다.,달성계획,실행·평가 기록,-,계획-실적 매핑표,-,"목표 달성 기획의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",목표 달성 기획의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,목표 달성 기획의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
7.1,자원,지원,OH&S MS의 수립·운영·개선에 필요한 인적·기술·재정·기반구조 자원을 결정·제공한다.,자원 목록/계획,투입·배정 기록,-,예산·인력 배정,중대재해법 제4조,"자원의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",자원의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,자원의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
7.2,역량/적격성,지원,성과에 영향을 미치는 업무에 필요한 역량을 결정·확보·평가하고 증거를 보유한다.,교육·자격·경험 문서,역량 평가·교육기록,-,자격증/수료증/평가표,산안법 제29조 교육,"역량/적격성의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",역량/적격성의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,역량/적격성의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
7.3,인식,지원,방침·목표·자신의 기여·불이행의 결과·사건·위험요인·대피 권한 등을 인식시킨다.,교육자료·게시물,교육·의사소통 기록,-,회의록/게시 흔적,-,"인식의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",인식의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,인식의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
7.4.1,의사소통(일반),지원,내·외부 의사소통의 무엇/언제/누구/어떻게를 정의·운영하고 기록을 보유한다.,의사소통 절차,의사소통 기록,내부·외부 의사소통 프로세스,공지/회의록,-,"의사소통(일반)의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",의사소통(일반)의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,의사소통(일반)의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,공지 게시판; 사내 디지털 사이니지,안전방침 게시물; 공지 포스터,,,,CCTV; 현장 사진; 드론(필요 시),OCR(게시판 문안); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),방침 최신본 게시 확인; OCR 문안 일치율 ≥ 95%,H
7.4.2,내부 의사소통,지원,조직 내 계층·기능 간 적정한 정보 공유를 보장한다.,내부 소통 절차,내부 소통 기록,-,사내 게시/회의,-,"내부 의사소통의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",내부 의사소통의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,내부 의사소통의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,공지 게시판; 사내 디지털 사이니지,안전방침 게시물; 공지 포스터,,,,CCTV; 현장 사진; 드론(필요 시),OCR(게시판 문안); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),방침 최신본 게시 확인; OCR 문안 일치율 ≥ 95%,H
7.4.3,외부 의사소통,지원,준수의무에 따라 외부와 안전보건 정보를 의사소통한다.,외부 소통 절차,대관·비상 소통 기록,-,신고·보고서,-,"외부 의사소통의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",외부 의사소통의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,외부 의사소통의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,공지 게시판; 사내 디지털 사이니지,안전방침 게시물; 공지 포스터,,,,CCTV; 현장 사진; 드론(필요 시),OCR(게시판 문안); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),방침 최신본 게시 확인; OCR 문안 일치율 ≥ 95%,H
7.5.1,문서화된 정보(일반),지원,규격이 요구하는 문서와 조직이 필요한 문서를 유지하며 법정 보존 요구를 반영한다.,문서관리 절차·목록,보존목록·보유 기록,-,문서목록·외부문서 대장,산안법 제164조,"필수 문서/기록 체계 부재, 법정 보존 요구 미반영.","‘유지/보유’ 구분 미흡, 외부문서 통제 일부 누락.",보존·추적성 강화 및 통합리스트 개선.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
7.5.2,작성 및 갱신,지원,식별·형식·매체·검토·승인을 보장한다.,제·개정 심의서,승인·버전 이력,-,배포대장,-,"작성 및 갱신의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",작성 및 갱신의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,작성 및 갱신의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
7.5.3,문서화된 정보의 관리,지원,배포·접근·보관·변경·폐기와 외부 출처 문서를 통제한다.,문서관리 절차,접근권한·변경이력·폐기 기록,-,접근권한 매트릭스,-,"문서화된 정보의 관리의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",문서화된 정보의 관리의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,문서화된 정보의 관리의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
8.1.1,운용 기획 및 관리,운용,프로세스 기준을 설정·관리하고 계획대로 수행되었음을 확신할 정도로 기록을 보유한다.,운용기준/절차,수행증거 기록,운용 프로세스,작업표준·점검표,-,운용 기준·절차 부재 또는 기록 미보유.,기준은 있으나 현장적합성/다사업주 조정 미흡.,KPI·증거 보유 수준 개선.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
8.1.2,위험요인 제거 및 리스크 감소,운용,관리 단계 우선순위(제거→대체→공학→행정→PPE)로 리스크를 감소시킨다.,위험성 평가·대책 문서,효과성 검토 기록,리스크 감소 프로세스,대책 실행 증거,산안법 제38·39 / 표-14,관리 단계 적용 부재(공학·행정·PPE만 의존)로 중대위험 상존.,"우선순위 일부 미준수, 대책 효과 검토 미흡.",ALARP·효과 검증 체계화 필요.,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
8.1.3,변경 관리,운용,계획적·임시·의도하지 않은 변경의 실행과 관리를 위한 프로세스를 수립한다.,변경관리 절차,변경 영향평가 기록,변경관리 프로세스,승인서/평가서,-,"변경 관리의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",변경 관리의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,변경 관리의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,,,,,,CCTV; 현장 사진; 드론(필요 시),YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),,M
8.1.4.1,조달,운용,조달 제품·서비스의 안전보건 적합성을 보장하고 사전점검·리스크 평가·요구사항 통제를 수행한다.,시방서/MSDS/사전점검서,입고 전 점검 기록,조달 프로세스,사전평가표,산안법 제5장 / 표-15,"조달의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",조달의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,조달의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,출입구 등록대; 현장 계약자 활동,출입증/배지; 방문자 조끼; 계약자 표지,,,VISITOR; CONTRACTOR,CCTV; 현장 사진; 드론(필요 시),OCR(출입증); YOLO(Object); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),미등록 출입자 0건; 배지 가시성 ≥ 95% 프레임,H
8.1.4.2,계약자,운용,계약자 선정기준·교육·작업허가·정보공유·사후평가를 운영하고 계약서에 안전보건 책임·기준을 명시한다.,선정절차·계약서,정기평가·교육 기록,계약자 관리 프로세스,정보공유 대장,산안법 제2절 / 표-16~17,"계약자의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",계약자의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,계약자의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,출입구 등록대; 현장 계약자 활동,출입증/배지; 방문자 조끼; 계약자 표지,,,VISITOR; CONTRACTOR,CCTV; 현장 사진; 드론(필요 시),OCR(출입증); YOLO(Object); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),미등록 출입자 0건; 배지 가시성 ≥ 95% 프레임,H
8.1.4.3,외주처리,운용,외주 기능·프로세스를 통제하고 능력 평가·사후평가·계약을 통해 의도된 결과를 보장한다.,외주지침·계약서,능력평가·사후평가 기록,외주처리 프로세스,평가표,-,"외주처리의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",외주처리의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,외주처리의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,출입구 등록대; 현장 계약자 활동,출입증/배지; 방문자 조끼; 계약자 표지,,,VISITOR; CONTRACTOR,CCTV; 현장 사진; 드론(필요 시),OCR(출입증); YOLO(Object); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),미등록 출입자 0건; 배지 가시성 ≥ 95% 프레임,H
8.2,비상대비 및 대응,운용,잠재적 비상 상황에 대비·훈련·평가·개정하고 모든 이해관계자와 정보를 의사소통한다.,비상대비 계획/시나리오,훈련·점검 기록,비상대비·대응 프로세스,연락망·점검표,산안법 제54,비상계획/훈련 부재 또는 비상장비 미비.,"훈련 미정기/평가·개정 미흡, 대외 커뮤니케이션 미흡.",시나리오 다양화·훈련 실효성 제고 필요.,문서/인터뷰/현장,,대피 훈련; 비상구/유도등; 소화기 비치 구역,비상구 표지; 유도등; 소화기; 비상벨; 피난안내도,,,EXIT; 비상구; 소화기; 화재 시 엘리베이터 사용 금지,CCTV; 현장 사진; 드론(필요 시),OCR(표지판/점검표); YOLO(Object); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),비상구 차폐 없음; 소화기 접근거리 기준 충족; 표지 OCR 인식률 ≥ 95%,H
9.1.1,모니터링·측정·분석·평가,성과평가,대상·방법·기준·시기를 결정하여 성과를 평가하고 기록을 보유한다.,측정·평가 지침,측정·분석·평가 기록/교정 기록,성과평가 프로세스,지표 대시보드,-,"모니터링·측정·분석·평가의 요구사항이 시스템적으로 부재하거나 심각한 결함으로 인해 중대 재해 위험이 높음(예: 핵심 문서/프로세스 미수립·미운영, 반복적 법규 위반).",모니터링·측정·분석·평가의 요구사항이 부분적으로 미흡하거나 문서화/기록/운영상의 경미한 불이행 존재(시정으로 단기간 내 개선 가능).,모니터링·측정·분석·평가의 요구사항은 적합하나 효과 향상을 위한 개선 기회가 식별됨(프로세스 성숙도·지표 관리·표준화 보완 필요).,문서/인터뷰/현장,,라인 CCTV; 계기/패널 판독,계측기 표시; 경고등; 작업속도 표시,,,,CCTV; 현장 사진; 드론(필요 시),OCR(계기판); Anomaly Detection(이상행동); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),계기판 OCR 에러율 ≤ 5%,H
9.1.2,준수평가,성과평가,법적·기타 요구사항 준수평가를 계획·실시·조치하고 결과를 보유한다.,준수평가 계획·체크리스트,평가 결과·시정 기록,준수평가 프로세스,법규 준수표,-,법규 준수평가 미실시.,"평가 주기/방법 불명확, 조치·기록 미흡.",위반 리스크 기반 빈도·방법 최적화 필요.,문서/인터뷰/현장,,라인 CCTV; 계기/패널 판독,계측기 표시; 경고등; 작업속도 표시,,,,CCTV; 현장 사진; 드론(필요 시),OCR(계기판); Anomaly Detection(이상행동); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),계기판 OCR 에러율 ≤ 5%,H
9.2,내부심사,성과평가,프로그램을 수립·유지하고 독립성·객관성을 보장하여 심사·보고·조치를 수행한다.,내부심사 규정/계획,심사 보고·시정 기록,내부심사 프로세스,체크리스트,-,내부심사 프로그램 부재 또는 객관성·독립성 결여.,"일부 프로세스 누락, 전회결과 반영 미흡.",리스크 기반 프로그램 고도화 필요.,문서/인터뷰/현장,,라인 CCTV; 계기/패널 판독,계측기 표시; 경고등; 작업속도 표시,,,,CCTV; 현장 사진; 드론(필요 시),OCR(계기판); Anomaly Detection(이상행동); YOLOv8/YOLOv10(Object); Pose(행동); OCR(표지판); Segmentation(영역위험),계기판 OCR 에러율 ≤ 5%,H
